Date,Price,Open,High,Low,Vol.,Change %
7/11/2025,1.3501,1.3569,1.3587,1.3481,,-0.56%
7/10/2025,1.3577,1.3588,1.3621,1.3532,,-0.08%
7/9/2025,1.3588,1.359,1.3621,1.3563,,-0.01%
7/8/2025,1.359,1.36,1.3648,1.3525,,-0.07%
7/7/2025,1.36,1.3633,1.3668,1.3574,,-0.37%
7/6/2025,1.3651,1.3657,1.3662,1.3647,,-0.01%
7/4/2025,1.3653,1.3657,1.3683,1.3634,,-0.01%
7/3/2025,1.3655,1.3638,1.3677,1.3585,,0.12%
7/2/2025,1.3638,1.3745,1.3754,1.3562,,-0.79%
7/1/2025,1.3747,1.3735,1.379,1.3703,,0.09%
6/30/2025,1.3735,1.3698,1.3743,1.3673,,0.14%
6/27/2025,1.3716,1.3733,1.3754,1.3681,,-0.09%
6/26/2025,1.3729,1.3665,1.3772,1.3653,,0.47%
6/25/2025,1.3665,1.3615,1.3673,1.359,,0.37%
6/24/2025,1.3615,1.352,1.3649,1.3506,,0.67%
6/23/2025,1.3525,1.343,1.3533,1.3369,,0.56%
6/20/2025,1.345,1.3461,1.3513,1.344,,-0.13%
6/19/2025,1.3468,1.3428,1.3472,1.3382,,0.34%
6/18/2025,1.3422,1.3432,1.3479,1.3399,,-0.04%
6/17/2025,1.3428,1.358,1.3586,1.3414,,-1.10%
6/16/2025,1.3577,1.3565,1.3624,1.3531,,0.08%
6/13/2025,1.3566,1.3613,1.3634,1.3515,,-0.35%
6/12/2025,1.3613,1.3554,1.3625,1.3522,,0.49%
6/11/2025,1.3546,1.3498,1.3569,1.3463,,0.36%
6/10/2025,1.3498,1.3556,1.3566,1.3455,,-0.38%
6/9/2025,1.355,1.3528,1.3583,1.3521,,0.18%
6/6/2025,1.3525,1.3578,1.3587,1.3506,,-0.34%
6/5/2025,1.3571,1.3558,1.3618,1.3539,,0.10%
6/4/2025,1.3558,1.3517,1.3582,1.35,,0.30%
6/3/2025,1.3517,1.3537,1.3563,1.3491,,-0.20%
6/2/2025,1.3544,1.3458,1.3561,1.3452,,0.62%
5/30/2025,1.3461,1.3489,1.3512,1.3447,,-0.21%
5/29/2025,1.349,1.3468,1.3508,1.3413,,0.12%
5/28/2025,1.3474,1.351,1.3524,1.3449,,-0.24%
5/27/2025,1.3507,1.3566,1.3588,1.3499,,-0.42%
5/26/2025,1.3564,1.3512,1.3595,1.3508,,0.19%
5/23/2025,1.3538,1.3419,1.3542,1.3411,,0.89%
5/22/2025,1.3419,1.342,1.3443,1.339,,-0.01%
5/21/2025,1.342,1.3394,1.347,1.338,,0.19%
5/20/2025,1.3394,1.3362,1.3396,1.3334,,0.24%
5/19/2025,1.3362,1.3268,1.3405,1.3265,,0.66%
5/16/2025,1.3275,1.3301,1.3335,1.3249,,-0.20%
5/15/2025,1.3301,1.3263,1.3321,1.3257,,0.29%
5/14/2025,1.3263,1.3308,1.3362,1.3252,,-0.34%
5/13/2025,1.3308,1.3176,1.3317,1.3169,,1.00%
5/12/2025,1.3176,1.3259,1.3313,1.3139,,-0.98%
5/9/2025,1.3306,1.3247,1.3324,1.3211,,0.45%
5/8/2025,1.3247,1.3296,1.3358,1.3235,,-0.37%
5/7/2025,1.3296,1.3369,1.3385,1.3279,,-0.55%
5/6/2025,1.3369,1.3293,1.3404,1.3259,,0.57%
5/5/2025,1.3293,1.3258,1.334,1.3247,,0.16%
5/2/2025,1.3272,1.3282,1.3332,1.3262,,-0.08%
5/1/2025,1.3282,1.3331,1.3347,1.3259,,-0.37%
4/30/2025,1.3331,1.3406,1.3416,1.3308,,-0.57%
4/29/2025,1.3407,1.3434,1.3446,1.3379,,-0.25%
4/28/2025,1.3441,1.3309,1.3446,1.3279,,0.94%
4/25/2025,1.3316,1.3343,1.3346,1.3273,,-0.20%
4/24/2025,1.3343,1.3257,1.3351,1.3251,,0.65%
4/23/2025,1.3257,1.3335,1.3341,1.3232,,-0.56%
4/22/2025,1.3331,1.3373,1.3426,1.3325,,-0.34%
4/21/2025,1.3377,1.3268,1.3424,1.3272,,0.62%
4/18/2025,1.3294,1.3266,1.3301,1.3251,,0.22%
4/17/2025,1.3265,1.3247,1.3275,1.3202,,0.19%
4/16/2025,1.324,1.323,1.3294,1.3211,,0.08%
4/15/2025,1.323,1.319,1.3254,1.3163,,0.31%
